CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245841;;PIAZZA SAN FRANCESCO DA PAOLA;;15;;;
M208;079160;1245843;;PIAZZA SAN GIOVANNI;;34;;;
M208;079160;1245857;;PIAZZA SAN PIETRO LAMETINO;;0;;;
M208;079160;1245883;;PIAZZA SANTA MARIA MAGGIORE;;22;;;
M208;079160;1245950;;PIAZZA STOCCO;;8;;;
M208;079160;1245284;;PIAZZA STOCCO;;0;;;
M208;079160;1245974;;PIAZZA TOMMASO CAMPANELLA;;3;;;
M208;079160;1245836;;PIAZZETTA SAMBIASE;;0;;;
M208;079160;1245602;;RAMPA MANCINI;;11;;;
M208;079160;1245747;;RAMPA PIEDICHIUSA;;1;;;
M208;079160;1245082;;RIONE CAFOSSI;;4;;;
M208;079160;1245138;;RIONE CASE NUOVE;;0;;;
M208;079160;1245139;;RIONE CASINO;;6;;;
M208;079160;1245449;;RIONE GRANDINETTI;;0;;;
M208;079160;1245604;;RIONE MANDONI;;9;;;
M208;079160;1245709;;RIONE OSPEDALE;;0;;;
M208;079160;1246133;;RIONE RAZIONALE;;26;;;
M208;079160;1245962;;RIONE TERRAVECCHIA;;3;;;
M208;079160;1245111;;SALITA CARCERI;;4;;;
M208;079160;1245358;;SALITA FRATELLI MARUCA;;26;;;
M208;079160;1245380;;SALITA GASPARE MAZZEI;;10;;;
M208;079160;1246135;;SALITA MAZZEI;;9;;;
M208;079160;1245873;;SALITA SANTA CATERINA;;4;;;
M208;079160;1348302;;STRADA COMUNALE MULINO;SANT'EUFEMIA VETERE;6;;;
M208;079160;1246082;;STRADA STATALE 18;;0;;;
M208;079160;1246060;;TRAVERSA DECIMA DI VIA DEI BIZANTINI;;4;;;
M208;079160;1246265;;TRAVERSA DECIMA DI VIA MADONNA DELLA SPINA;;15;;;
M208;079160;1246064;;TRAVERSA DODICESIMA DI VIA DEI BIZANTINI;;5;;;
M208;079160;1245559;;TRAVERSA NONA DI VIA DEI BIZANTINI;;7;;;
M208;079160;1246113;;TRAVERSA NONA DI VIA MADONNA DELLA SPINA;;4;;;
M208;079160;1246042;;TRAVERSA OTTAVA DI VIA DEI BIZANTINI;;18;;;
M208;079160;1246279;;TRAVERSA OTTAVA DI VIA MADONNA DELLA SPINA;;30;;;
M208;079160;1246103;;TRAVERSA PRIMA CANNETO MORELLI;;7;;;
M208;079160;1245466;;TRAVERSA PRIMA DI VIA CALABRIA;;4;;;
M208;079160;1246158;;TRAVERSA PRIMA DI VIA CAVALLERIZZA;;4;;;
M208;079160;1245469;;TRAVERSA PRIMA DI VIA DEI BIZANTINI;;15;;;
M208;079160;1245471;;TRAVERSA PRIMA DI VIA DEL MARE;;0;;;
M208;079160;1246235;;TRAVERSA PRIMA DI VIA ENRICO TOTI;;0;;;
M208;079160;1246285;;TRAVERSA PRIMA DI VIA GABRIELE CIANFLONE;;9;;;
M208;079160;1245472;;TRAVERSA PRIMA DI VIA GIORGIO AMENDOLA;;22;;;
M208;079160;1245473;;TRAVERSA PRIMA DI VIA GIUSEPPE VERDI;;0;;;
M208;079160;1245474;;TRAVERSA PRIMA DI VIA GRAZIA DELEDDA;;4;;;
M208;079160;1245476;;TRAVERSA PRIMA DI VIA LUIGI EINAUDI;;17;;;
M208;079160;1246264;;TRAVERSA PRIMA DI VIA MADONNA DELLA SPINA;;11;;;
M208;079160;1245477;;TRAVERSA PRIMA DI VIA MONTEGRAPPA;SAN PIETRO LAMETINO;0;;;
M208;079160;1245478;;TRAVERSA PRIMA DI VIA PITAGORA;;24;;;
M208;079160;1245475;;TRAVERSA PRIMA DI VIA PRIMO MAGGIO;;1;;;
M208;079160;1245479;;TRAVERSA PRIMA DI VIA SAVERIO D'IPPOLITO;;4;;;
M208;079160;1245480;;TRAVERSA PRIMA DI VIA SCIRO';;18;;;
M208;079160;1245470;;TRAVERSA PRIMA DI VIALE DEI MILLE;;2;;;
M208;079160;1245553;;TRAVERSA QUARTA DI VIA DEI BIZANTINI;;2;;;
M208;079160;1246286;;TRAVERSA QUARTA DI VIA MADONNA DELLA SPINA;;8;;;
M208;079160;1245555;;TRAVERSA QUARTA DI VIALE DEI MILLE;;0;;;
M208;079160;1245556;;TRAVERSA QUARTA DI VIALE PRIMO MAGGIO;;20;;;
M208;079160;1246066;;TRAVERSA QUATTORDICESIMA DI VIA DEI BIZANTINI;;7;;;
M208;079160;1246067;;TRAVERSA QUINDICESIMA DI VIA DEI BIZANTINI;;0;;;
M208;079160;1246015;;TRAVERSA QUINTA DI VIA DEI BIZANTINI;;13;;;
M208;079160;1246114;;TRAVERSA QUINTA DI VIA MADONNA DELLA SPINA;;1;;;
M208;079160;1246087;;TRAVERSA SECONDA DI VIA CALABRIA;;3;;;
M208;079160;1245500;;TRAVERSA SECONDA DI VIA DEI BIZANTINI;;4;;;
M208;079160;1245501;;TRAVERSA SECONDA DI VIA DEL MARE;;0;;;
M208;079160;1245503;;TRAVERSA SECONDA DI VIA ENRICO TOTI;;12;;;
M208;079160;1246290;;TRAVERSA SECONDA DI VIA GIUSEPPE VERDI;;4;;;
M208;079160;1245502;;TRAVERSA SECONDA DI VIA GRAZIA DELEDDA;;2;;;
M208;079160;1245498;;TRAVERSA SECONDA DI VIA GUGLIELMO MARCONI;;42;;;
M208;079160;1245504;;TRAVERSA SECONDA DI VIA LUIGI EINAUDI;;37;;;
M208;079160;1246271;;TRAVERSA SECONDA DI VIA MADONNA DELLA SPINA;;9;;;
M208;079160;1245505;;TRAVERSA SECONDA DI VIA MONTEGRAPPA;;0;;;
M208;079160;1245506;;TRAVERSA SECONDA DI VIA SAVERIO D'IPPOLITO;;6;;;
M208;079160;1245507;;TRAVERSA SECONDA DI VIA SCIRO';;13;;;
