access_id,provider,candidate_method,candidate_status,candidate_lon,candidate_lat,candidate_confidence,candidate_explanation,source_lon,source_lat,distance_from_source_m,street,civico,esponente,coordinate_quality_flag,anchor_count,numeric_anchor_count,lower_anchor_access_id,lower_anchor_civic,upper_anchor_access_id,upper_anchor_civic,nearest_anchor_access_id,nearest_anchor_civic,nearest_anchor_distance_m,notes
3535711,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.2821279,38.968405,low,Only one-sided or sparse numeric same-street anchors were available.,16.2870078,38.9668786,454.7,CORSO DELLA REPUBBLICA,2,,same_street_outlier,21,21,,,3535706,3,3535746,50,454.7,Local ANNCSU anchor candidate only; do not apply without human review.
3572084,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.319956,38.9755782,medium,1 same-street anchor(s) share civic number 37.,16.2588338,38.9582774,5623.6,CORSO NUMISTRANO,37,B,same_street_outlier,53,53,,,,,3572105,69,2626.7,Local ANNCSU anchor candidate only; do not apply without human review.
3572086,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3199552,38.9755187,medium,Interpolated civic 41 between same-street anchors 39 and 43.,16.2717747,38.9879341,4387.4,CORSO NUMISTRANO,41,,same_street_outlier,53,53,3572085,39,3572087,43,3572090,48,4315.1,Local ANNCSU anchor candidate only; do not apply without human review.
3572107,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2982644,38.9572778,medium,Interpolated civic 71 between same-street anchors 69 and 73.,16.248277,38.8710094,10522.5,CORSO NUMISTRANO,71,,same_street_outlier,53,53,3572105,69,3569821,73,3572105,69,8021.5,Local ANNCSU anchor candidate only; do not apply without human review.
3569822,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3192474,38.9750339,medium,Interpolated civic 79 between same-street anchors 77 and 81.,16.2852601,38.9673704,3059.3,CORSO NUMISTRANO,79,,same_street_outlier,53,53,3572109,77,3572110,81,3569825,67,3021.1,Local ANNCSU anchor candidate only; do not apply without human review.
3528137,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2756886,38.9590552,medium,Interpolated civic 8 between same-street anchors 7 and 9.,16.222913,38.900832,7921.8,LARGHETTO BLASCHI,8,,same_street_outlier,12,12,3528142,7,3528143,9,3528136,6,4450.2,Local ANNCSU anchor candidate only; do not apply without human review.
3515382,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.2712002,38.9663765,low,Only one-sided or sparse numeric same-street anchors were available.,16.3199453,38.9763173,4356.6,LARGO CAPORALE,1,,same_street_outlier,8,8,,,3515388,2,3515384,8,4356.6,Local ANNCSU anchor candidate only; do not apply without human review.
3555603,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3227486,38.9805269,medium,Interpolated civic 6 between same-street anchors 5 and 7.,16.2527115,38.9138968,9569.6,LARGO DEL GESU',6,,same_street_outlier,8,8,3555602,5,3555604,7,3555600,1,9552.3,Local ANNCSU anchor candidate only; do not apply without human review.
3529111,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3179325,38.9697272,low,Only one-sided or sparse numeric same-street anchors were available.,16.3449971,38.9654307,2388.1,LARGO SCARAMUZZINO,13,,same_street_outlier,23,23,,,3531201,15,3531206,170,2388.1,Local ANNCSU anchor candidate only; do not apply without human review.
3517037,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.273099,38.9932485,low,Interpolated civic 480 between same-street anchors 6 and 482.,16.2717747,38.9879341,601.9,LOCALITA' CAFARELLO,480,,isolated_point,3,3,3517040,6,3517038,482,3517040,6,590.2,Local ANNCSU anchor candidate only; do not apply without human review.
