election_id,section_number,list_number,council_candidate_number,preference_votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,6,1,20,19,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,22,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,23,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,24,8,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,2,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,3,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,7,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,8,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,9,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,10,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,11,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,14,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,17,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,18,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,20,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,22,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,23,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,7,1,24,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,2,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,3,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,5,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,7,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,8,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,9,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,10,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,11,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,14,19,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,15,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,17,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,18,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,20,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,22,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,23,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,8,1,24,8,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,1,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,2,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,3,9,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,5,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,7,10,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,8,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,9,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,10,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,11,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,12,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,14,8,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,17,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,18,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,9,1,19,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
