street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
LOC FERLAINO,LOC. FERLAINO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC FIALA,LOC. FIALA',1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC FICARELLA,LOC. FICARELLA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC FONTANELLA,LOC. FONTANELLA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC GATTOIRA,LOC. GATTOIRA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC GENERALE,LOC. GENERALE,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC GIARDINO DI RENDA,LOC. GIARDINO DI RENDA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC GINEPRI,LOC. GINEPRI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC IMPARI,LOC. IMPARI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC JELA,LOC. JELA',1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC LAMEZIA GOLFO,LOC. LAMEZIA GOLFO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC LAURO,LOC. LAURO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC LE MUSE,LOC. LE MUSE,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC LENZA GRANDE,LOC. LENZA GRANDE,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC LICCIARDI,LOC. LICCIARDI,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MAIORANA,LOC. MAIORANA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MALATESTA,LOC. MALATESTA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MARGHETT,LOC. MARGHETT,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MARINA DI MAIDA,LOC. MARINA DI MAIDA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MARINELLA,LOC. MARINELLA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MARTA,LOC. MARTA',1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MASCARELLO,LOC. MASCARELLO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MENDICINO,LOC. MENDICINO,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC METE,LOC. METE,1,47,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MORLANDA,LOC. MORLANDA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MUCATA,LOC. MUCATA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC MURA DI GRASSO,LOC. MURA DI GRASSO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PAGLIARONE,LOC. PAGLIARONE,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PARADISO,LOC. PARADISO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PASSORELIA,LOC. PASSORELIA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PERSICARA,LOC. PERSICARA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PIANO VITALE,LOC. PIANO VITALE,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PITIZZANNI,LOC. PITIZZANNI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC POZZO,LOC. POZZO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PRAIA A MARE,LOC. PRAIA A MARE,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PRATO CONDO,LOC. PRATO CONDO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PRATO FABIANO,LOC. PRATO FABIANO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PRIANO,LOC. PRIANO,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC PULLO,LOC. PULLO,1,54,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC RENDA,LOC. RENDA,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC RISI,LOC. RISI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC S ANTONIO,LOC. S. ANTONIO,1,35,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
