event_id,edition_year,event_title,video_id,date,location,speakers,moderator,main_topics,territorial_relevance,civic_relevance_score,analysis_status,notes
trame15_20260617_spina-napoli-1996-2016,2026,Spina. Napoli 1996 - 2016,,2026-06-17,Chiostro San Domenico,Spina. Napoli 1996 - 2016; Con Mario Spada e Tiziana Faraoni (photo editor de L'Espresso);,,Spina. Napoli 1996 - 2016,Mezzogiorno,4,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 19:30; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260618_chi-ha-ucciso-giovanni-losardo-a-100-anni-dalla-sua-nascita,2026,Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita,,2026-06-18,Piazzetta San Domenico,"Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita; con Giulia Zanfino , M ichelangelo Di Stefano (Consulente XVIII Commissione Parlamentare Antimafia), Saverio Di Giorno e Filippo Veltri (giornalista); A seguire ; Trame Visioni; Chi ha ucciso Giovanni Losardo?; Docufilm di Giulia Zanfino per la produzione di Uglyfilms; ;;",,Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita,Italia,2,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 22:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_i-cecchini-del-weekend,2026,I cecchini del weekend,,2026-06-18,Palazzo Nicotera,I cecchini del weekend; con Ezio Gavazzeni e Tommaso Panza (giornalista);,,I cecchini del weekend,Lamezia,5,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 20:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_linfiltrato,2026,L’infiltrato,,2026-06-18,Piazzetta San Domenico,"L’infiltrato; con Pietro Comito , Salvatore Curcio (Procuratore della Repubblica di Catanzaro) e Arcangelo Badolati (Gazzetta del Sud);",,L’infiltrato,Calabria,4,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 21:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_la-donna-che-sfido-cosa-nostra,2026,La donna che sfidò Cosa Nostra,,2026-06-18,Piazzetta San Domenico,La donna che sfidò Cosa Nostra; con Riccardo Bocca e Giovanni Tizian;,,La donna che sfidò Cosa Nostra,general,3,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 20:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_mafia-a-milano,2026,Mafia a Milano,,2026-06-18,Chiostro San Domenico,"Mafia a Milano; con Mario Portanova , Giampiero Rossi , Franco Stefanoni , Lamberto Bertolè (Assessore Welfare, Salute e Beni Confiscati Comune di Milano) e Tommaso Ricciardelli (giornalista);",,Mafia a Milano,Italia,3,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 19:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_mafie-e-dominio-patriarcale,2026,Mafie e dominio patriarcale,,2026-06-18,Chiostro San Domenico,Mafie e dominio patriarcale; con Celeste Costantino e Alessia Arcolaci (42 parallello);,,Mafie e dominio patriarcale,Italia,4,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_mettiamo-il-bene-in-comune,2026,Mettiamo il Bene in Comune,,2026-06-18,Palazzo Nicotera,"Mettiamo il Bene in Comune; con Pierpaolo Romani (coordinatore nazionale Avviso Pubblico), Giuseppe Politanò (Coordinatore regionale, vicesindaco di Polistena), Giulia Migneco (Avviso Pubblico), Wanda Ferro (sottosegretaria di Stato al Ministero dell'interno), Mario Murone (sindaco di Lamezia Terme);",,Mettiamo il Bene in Comune,Lamezia,5,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 17:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_quando-il-potere-divento-regime,2026,Quando il potere diventò regime,,2026-06-18,Chiostro San Domenico,"Quando il potere diventò regime; con Pantaleone Sergi , Alessandro Gaudio (Università della Calabria) e John Dickie (University College London);",,Quando il potere diventò regime,Calabria,4,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 17:30; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
trame15_20260618_storie-di-donne-e-uomini-che-resistono,2026,Storie di donne e uomini che resistono,,2026-06-18,Piazzetta San Domenico,Storie di donne e uomini che resistono;,,Storie di donne e uomini che resistono,general,3,not_started,Programma ufficiale giovedi-18-giugno-2026; orario 20:00; fonte https://www.tramefestival.it/gioved%C3%AC-18-giugno-2026
